"species","datapointsMean","datapointsSE","movesMean","movesSE","durationMean","durationSE"
"Bungarus candidus",114,15.078852571459,28.5384615384615,3.94938389322875,118.636538461538,14.6947734373385
"Bungarus fasciatus",291.333333333333,92.3874690877743,86.6666666666667,38.1764907298254,433.666666666667,198.151737592965
"Ophiophagus hannah",890.16,152.859081945867,273.28,47.8568183926456,334.906187962963,54.4000389723028
"Python bivittatus",309.714285714286,79.5677950781938,112.428571428571,33.7884575549932,327.112896825397,85.4702871063548
