"species","timelagMean","timelagSE","timelagMax","timelagMin","steplengthMean","steplengthSE"
"Bungarus candidus",25.1971409121852,0.548873167565818,410,0.166666666666667,25.1731606762695,2.07850062014167
"Bungarus fasciatus",35.8484500574053,1.91234710715085,984,24,69.5522855518039,5.76233607974537
"Ophiophagus hannah",9.03970996346114,0.308178893124378,6720.33333333333,0.00805555555555556,84.4793171613745,2.3070261409922
"Python bivittatus",25.4303408915625,0.31624241863861,452.766666666667,8.55,41.3872935664059,2.1193228366931
