"value","se","ci","lower","upper","variable","model"
0.0523062398750806,NA,0.95,0.00297376035828163,0.0837081128769332,"tau2_sd_index_intercept","areaBasedBrms_OPHA_H2_binary_OPHA_H2_binary"
0.759259307875114,0.076438497211886,0.95,0.686283417905365,0.941618831932679,"r2 conditional","areaBasedBrms_PYBI_H1_binary_PYBI_H1_binary"
0.697319512390436,0.0143438750467009,0.95,0.66342757552669,0.726157864792659,"r2 marginal","areaBasedBrms_PYBI_H1_binary_PYBI_H1_binary"
0.108938773677662,NA,0.95,0.0104160989083326,0.216623658990135,"tau2_sd_index_intercept","areaBasedBrms_PYBI_H1_binary_PYBI_H1_binary"
0.926187672918165,0.0206849201989437,0.95,0.90217107842744,0.966168395733556,"r2 conditional","areaBasedBrms_BUCA_H1_binary_BUCA_H1_binary"
0.909414052602478,0.00341936004554155,0.95,0.902482077683665,0.914954793305708,"r2 marginal","areaBasedBrms_BUCA_H1_binary_BUCA_H1_binary"
0.284206548689083,NA,0.95,0.00719241682313138,0.527323535126139,"tau2_sd_index_intercept","areaBasedBrms_BUCA_H1_binary_BUCA_H1_binary"
0.820647681476416,0.046499270790992,0.95,0.770472605402684,0.921583066191885,"r2 conditional","areaBasedBrms_BUFA_H1_binary_BUFA_H1_binary"
0.785300296076563,0.0105048632481747,0.95,0.760415412862135,0.803931898363766,"r2 marginal","areaBasedBrms_BUFA_H1_binary_BUFA_H1_binary"
1.10402611706308,NA,0.95,0.0333434296356547,2.12202433135572,"tau2_sd_index_intercept","areaBasedBrms_BUFA_H1_binary_BUFA_H1_binary"
0.501019181491428,0.0467986755941605,0.95,0.400522618801968,0.599232550982213,"r2 conditional","poisBrms_OPHA_H1_binary_OPHA_H1_binary"
0.501719317281338,0.0663972007244817,0.95,0.364301755534373,0.633693764215968,"r2 marginal","poisBrms_OPHA_H1_binary_OPHA_H1_binary"
0.920709462487123,NA,0.95,1.4800913487315e-05,2.62952353824132,"tau2_sd_index_intercept","poisBrms_OPHA_H1_binary_OPHA_H1_binary"
0.501832444660128,0.046514402519832,0.95,0.399637126764677,0.603131555663712,"r2 conditional","poisBrms_OPHA_H2_binary_OPHA_H2_binary"
0.503410837683366,0.0635951035351365,0.95,0.36332776885631,0.639897636486339,"r2 marginal","poisBrms_OPHA_H2_binary_OPHA_H2_binary"
0.832412453554748,NA,0.95,0.00712850966436052,2.6275816229945,"tau2_sd_index_intercept","poisBrms_OPHA_H2_binary_OPHA_H2_binary"
0.545320884785337,0.0864023600072568,0.95,0.305017513496028,0.663736892599191,"r2 conditional","poisBrms_OPHA_H1_continuous_OPHA_H1_continuous"
0.538110851635832,0.0957205933051355,0.95,0.27314080680336,0.658143392675613,"r2 marginal","poisBrms_OPHA_H1_continuous_OPHA_H1_continuous"
0.0523726016955934,NA,0.95,0.00035590268564185,0.159329454575156,"tau2_sd_index_intercept","poisBrms_OPHA_H1_continuous_OPHA_H1_continuous"
0.910428133382575,0.0219249453673819,0.95,0.845073189188426,0.94215668723888,"r2 conditional","poisBrms_OPHA_H2_continuous_OPHA_H2_continuous"
0.91575741543234,0.0196519929669749,0.95,0.854062015781157,0.941276088662828,"r2 marginal","poisBrms_OPHA_H2_continuous_OPHA_H2_continuous"
